None,visit_duration_hr,visit_duration_hr,visit_duration_day,visit_duration_day,visit_duration,visit_duration,visit_duration_min,visit_duration_min
None,sum,mean,sum,mean,sum,mean,sum,mean
domain,,,,,,,,
facebook.com,285.850800905,0.239205691134,11.9104500377,0.00996690379725,1029062883258,861140488,17151.0480543,14.352341468
bugs.chromium.org,68.4472591247,34.2236295624,2.8519691302,1.4259845651,246410132849,123205066424,4106.83554748,2053.41777374
github.com,60.3570382967,0.0180763816402,2.51487659569,0.000753182568342,217285337868,65074973,3621.4222978,1.08458289841
dashingd3js.com,28.7058193719,0.0268529648007,1.19607580716,0.00111887353336,103340949739,96670673,1722.34916232,1.61117788804
stackoverflow.com,21.8560215042,0.063534946233,0.910667562674,0.00264728942638,78681677415,228725806,1311.36129025,3.81209677398
plus.google.com,21.5182430711,0.208914981273,0.896593461296,0.00870479088637,77465675056,752093932,1291.09458427,12.5348988764
google.com,17.3412951706,0.0241186302789,0.72255396544,0.00100494292829,62428662614,86827069,1040.47771023,1.44711781674
app.greenhouse.io,15.7503575961,0.656264899838,0.656264899838,0.0273443708266,56701287346,2362553639,945.021455767,39.3758939903
gitbook.com,14.820706595,1.34733696318,0.617529441458,0.0561390401326,53354543742,4850413067,889.2423957,80.8402177909
en.wikipedia.org,9.80784118944,0.0155187360592,0.40866004956,0.000646614002469,35308228282,55867449,588.470471367,0.931124163555
mail.google.com,9.62031141806,0.0100003237194,0.400846309086,0.000416680154975,34633121105,36001165,577.218685083,0.600019423164
creativereview.co.uk,4.29867439583,0.0252863199755,0.17911143316,0.00105359666565,15475227825,91030751,257.92046375,1.51717919853
messenger.com,3.17477311028,0.11758418927,0.132282212928,0.00489934121956,11429183197,423303081,190.486386617,7.05505135617
jacobinmag.com,1.81962059167,0.0336966776235,0.0758175246528,0.00140402823431,6550634130,121308039,109.1772355,2.02180065741
vulture.com,1.10440459583,0.184067432639,0.0460168581597,0.00766947635995,3975856545,662642757,66.26427575,11.0440459583
gravitys-rainbow.pynchonwiki.com,1.04585073361,0.00408535442817,0.0435771139005,0.000170223101174,3765062641,14707275,62.7510440167,0.24512126569
zara.com,0.628864839444,0.0224594585516,0.0262027016435,0.000935810772983,2263913422,80854050,37.7318903667,1.3475675131
linkedin.com,0.43885333,0.0487614811111,0.0182855554167,0.00203172837963,1579871988,175541332,26.3311998,2.92568886667
staging.datarobot.com,0.351241497778,0.00616213153996,0.0146350624074,0.000256755480832,1264469392,22183673,21.0744898667,0.369727892398
medium.com,0.217412540833,0.0543531352083,0.00905885586806,0.00226471396701,782685147,195671286,13.04475245,3.2611881125
dailymotion.com,0.212814274444,0.0236460304938,0.00886726143519,0.000985251270576,766131388,85125709,12.7688564667,1.41876182963
tiphive.com,0.195667001111,0.00425363045894,0.00815279171296,0.000177234602456,704401204,15313069,11.7400200667,0.255217827536
slides.com,0.179022908056,0.000813740491162,0.00745928783565,3.39058537984e-05,644482469,2929465,10.7413744833,0.0488244294697
godaddy.com,0.169137245833,0.0338274491667,0.00704738524306,0.00140947704861,608894085,121778817,10.14823475,2.02964695
localhost:8080,0.146513234722,0.000759135931203,0.00610471811343,3.16306638001e-05,527447645,2732889,8.79079408333,0.0455481558722
cfainstitute.org,0.0828890825,0.00753537113636,0.00345371177083,0.000313973797348,298400697,27127336,4.97334495,0.452122268182
docs.google.com,0.0577522938889,0.000962538231481,0.0024063455787,4.01057596451e-05,207908258,3465137,3.46513763333,0.0577522938889
lodash.com,0.03370153,0.0084253825,0.00140423041667,0.000351057604167,121325508,30331377,2.0220918,0.50552295
goo.gl,0.0276129152778,0.000952169492337,0.00115053813657,3.96737288474e-05,99406495,3427810,1.65677491667,0.0571301695402
netflix.com,0.0209783227778,0.00299690325397,0.000874096782407,0.000124870968915,75521962,10788851,1.25869936667,0.179814195238
hangouts.google.com,0.0103412186111,0.00206824372222,0.000430884108796,8.61768217593e-05,37228387,7445677,0.620473116667,0.124094623333
datarobot.atlassian.net,0.00977873916667,7.88607997312e-05,0.000407447465278,3.28586665547e-06,35203461,283898,0.58672435,0.00473164798387
hems.io,0.00955487333333,0.00477743666667,0.000398119722222,0.000199059861111,34397544,17198772,0.5732924,0.2866462
jenkins.hq.datarobot.com:8080,0.00652929555556,0.00038407620915,0.000272053981481,1.60031753813e-05,23505464,1382674,0.391757733333,0.023044572549
email.hyperallergic.com,0.00507083611111,0.00126770902778,0.000211284837963,5.28212094907e-05,18255010,4563752,0.304250166667,0.0760625416667
slack-redir.net,0.00401802611111,0.00200901305556,0.00016741775463,8.37088773148e-05,14464894,7232447,0.241081566667,0.120540783333
datarobot.com,0.00203469055556,0.000508672638889,8.47787731481e-05,2.1194693287e-05,7324886,1831221,0.122081433333,0.0305203583333
sparknotes.com,0.00105092305556,0.000105092305556,4.37884606481e-05,4.37884606481e-06,3783323,378332,0.0630553833333,0.00630553833333
chrome.google.com,0.000113045,0.000113045,4.71020833333e-06,4.71020833333e-06,406962,406962,0.0067827,0.0067827
productpains.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
warbyparker.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
saucelabs.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
research.googleblog.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
accounts.google.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
news.ycombinator.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
news.mit.edu,0.0,0.0,0.0,0.0,0,0,0.0,0.0
makeuseof.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
makandracards.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
lab-oratory.de,0.0,0.0,0.0,0.0,0,0,0.0,0.0
adultswim.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
dashingd3js.us6.list-manage.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
d3js.org,0.0,0.0,0.0,0.0,0,0,0.0,0.0
calendar.google.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
amazon.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
hi.stamen.com,0.0,0.0,0.0,0.0,0,0,0.0,0.0
